ID,MainDetailIDs,BeginMethod,ResolveMethod,DirectionGroupID
1,1,ObjectAddition,ObjectDeletion,1
2,4,ObjectMovement,RestoreObjectState,2
3,8,ObjectDeletion,ObjectAddition,3
4,11,ObjectAddition,ObjectDeletion,4
5,14,ObjectAddition,ObjectDeletion,5
6,15,ObjectMovement,RestoreObjectState,6
7,16,ObjectDeletion,ObjectAddition,7
8,17,ObjectMovement,RestoreObjectState,8
9,18,ObjectDeletion,ObjectAddition,9
10,19,ObjectDeletion,ObjectAddition,10
11,20,ObjectMovement,RestoreObjectState,11
12,21,ObjectDeletion,ObjectAddition,12
13,22,ObjectDeletion,ObjectAddition,13
14,23,ObjectDeletion,ObjectAddition,14
15,24,ObjectAddition,ObjectDeletion,15
16,25,ObjectAddition,ObjectDeletion,16
18,27,ObjectMovement,RestoreObjectState,18
19,28,ObjectDeletion,ObjectAddition,19
20,29,ObjectMovement,RestoreObjectState,20
22,31,ObjectDeletion,ObjectAddition,22
24,33,ObjectDeletion,ObjectAddition,24
25,34,ObjectMovement,RestoreObjectState,25
26,35,ObjectMovement,RestoreObjectState,26
