ID,AnomalyID,TargetID,Phenomenon,Resolve,MoveParamID,ParameterIDs
1,1,1,ObjectAddition,ObjectDeletion,0,
4,2,2,ObjectMovement,RestoreObjectState,1,
8,3,3,ObjectDeletion,ObjectAddition,0,
11,4,4,ObjectAddition,ObjectDeletion,0,
14,5,5,ObjectAddition,ObjectDeletion,0,
15,6,6,ObjectMovement,RestoreObjectState,2,
16,7,7,ObjectDeletion,ObjectAddition,0,
17,8,19,ObjectMovement,RestoreObjectState,7,
18,9,8,ObjectDeletion,ObjectAddition,0,
19,10,9,ObjectDeletion,ObjectAddition,0,
20,11,10,ObjectMovement,RestoreObjectState,3,
21,12,11,ObjectDeletion,ObjectAddition,0,
22,13,10,ObjectDeletion,ObjectAddition,0,
23,14,12,ObjectDeletion,ObjectAddition,0,
24,15,13,ObjectAddition,ObjectDeletion,0,
25,16,14,ObjectAddition,ObjectDeletion,0,
27,18,15,ObjectMovement,RestoreObjectState,6,
28,19,3,ObjectDeletion,ObjectAddition,0,
29,20,2,ObjectMovement,RestoreObjectState,1,
31,22,16,ObjectDeletion,ObjectAddition,0,
33,24,17,ObjectDeletion,ObjectAddition,0,
34,25,17,ObjectMovement,RestoreObjectState,8,
35,26,10,ObjectMovement,RestoreObjectState,9,
