ID,AnomalyID,DetailID,RequiredParameterIDs,AssetPath,TargetID,TriggerType,PrerequisiteDirectionID
1,1,1,,,1,WithPrimaryState,0
2,1,1,,,2,WhilePrimaryActive,0
3,1,1,"1,2",,3,AfterPrimaryResolvedAndTurn,0
4,2,4,,,4,WithPrimaryState,0
5,2,4,,,5,WhilePrimaryActive,0
6,2,4,,,6,AfterPrimaryResolvedExitAndFirstFloorEntry,0
8,3,8,,,7,WithPrimaryState,0
9,3,8,5,,8,AfterPrimaryResolved,0
11,4,11,,,9,WithPrimaryState,0
12,4,11,6,,10,AfterPrimaryResolved,0
13,4,11,7,,11,AfterDirectionEndAndTurn,12
14,5,14,,,12,WithPrimaryState,0
15,6,15,,,13,WithPrimaryState,0
16,7,16,,,14,WithPrimaryState,0
17,8,17,,,26,WithPrimaryState,0
18,9,18,,,16,WithPrimaryState,0
19,10,19,,,17,WithPrimaryState,0
20,11,20,,,18,WithPrimaryState,0
21,12,21,,,19,WithPrimaryState,0
22,13,22,,,18,WithPrimaryState,0
23,14,23,,,20,WithPrimaryState,0
24,15,24,,,21,WithPrimaryState,0
25,16,25,,,22,WithPrimaryState,0
27,18,27,,,23,WithPrimaryState,0
28,19,28,,,7,WithPrimaryState,0
29,20,29,,,4,WithPrimaryState,0
31,22,31,,,24,WithPrimaryState,0
33,24,33,,,25,WithPrimaryState,0
34,25,34,,,25,WithPrimaryState,0
35,26,35,,,18,WithPrimaryState,0
