ID,TargetCode,Spot,SceneBinding,InteractionArea,PrefabAssetPath
1,Vase,Mortuary,Interection_Obj/Interaction/I_1,,Obj/Interaction/I_1
2,CoffinLid,CoffinRoom,Interection_Obj/Interaction/I_2/I_2_2,,Obj/Interaction/I_2/I_2_2
3,Pillow,FamilyRoom,Interection_Obj/Interaction/I_3,,Obj/Interaction/I_3
4,MemorialPortrait,FuneralRoom,Interection_Obj/Interaction/I_14,,Obj/Interaction/I_14
5,Vase,CoffinRoom,Interection_Obj/Interaction/I_11,,Obj/Interaction/I_11
6,Chair,FuneralRoom,Interection_Obj/Interaction/I_4,,Obj/Interaction/I_4
7,Chair,FamilyRoom,Interection_Obj/Interaction/I_5,,Obj/Interaction/I_5
8,Cushion,FuneralRoom,Interection_Obj/Interaction/I_7/I_7_2,,Obj/Interaction/I_7/I_7_2
9,Desk,FamilyRoom,Interection_Obj/Interaction/I_6,,Obj/Interaction/I_6
10,Table,Mortuary,Interection_Obj/Interaction/I_8,,Obj/Interaction/I_8
11,Cushion,FuneralRoom,Interection_Obj/Interaction/I_7/I_7_2,,Obj/Interaction/I_7/I_7_2
12,Candle,FuneralRoom,Interection_Obj/Interaction/I_9,,Obj/Interaction/I_9
13,Vase,FamilyRoom,Interection_Obj/Interaction/I_10,,Obj/Interaction/I_10
14,Vase,CoffinRoom,Interection_Obj/Interaction/I_11,,Obj/Interaction/I_11
15,FridgeDoor,Mortuary,Interection_Obj/Interaction/I_12,,Obj/Interaction/I_12
16,CoffinTable,CoffinRoom,Interection_Obj/Interaction/I_13,,Obj/Interaction/I_13
17,Clock,Mortuary,Interection_Obj/Interaction/I_16,,Obj/Interaction/I_16
18,Clock,CoffinRoom,Interection_Obj/Interaction/I_17,,Obj/Interaction/I_17
19,Coffin,CoffinRoom,Interection_Obj/Interaction/I_2,,Obj/Interaction/I_2
